     63/99     8.47G   0.02746  0.009415  0.005121     0.042        49       800     0.856    0.6902    0.7323    0.4491   0.02944   0.00887   0.01427
     64/99     8.47G    0.0266  0.009388  0.005351   0.04134        56       800     0.857    0.6818     0.739    0.4504   0.02957  0.008786   0.01344
     65/99     8.47G   0.02597  0.009078  0.004352    0.0394        70       800    0.8625    0.6769    0.7316    0.4459   0.02944  0.008837    0.0144
     66/99     8.47G   0.02612    0.0092  0.004482    0.0398        57       800     0.867    0.6716    0.7411    0.4489   0.02962  0.008785   0.01379
     67/99     8.47G   0.02576  0.009046  0.004458   0.03926        40       800    0.8665     0.686    0.7338    0.4567   0.02855  0.008836   0.01431
     68/99     8.47G   0.02582  0.009057  0.004295   0.03917        63       800    0.8749    0.6751    0.7392    0.4507   0.02929  0.008928   0.01481
     69/99     8.47G   0.02524  0.008967  0.004184   0.03839        54       800    0.8612    0.6864    0.7485    0.4633   0.02817  0.008803   0.01446
     70/99     8.47G   0.02508  0.009147   0.00411   0.03833        47       800    0.8598    0.6732    0.7254    0.4439   0.02952  0.008824   0.01511
     71/99     8.47G   0.02515  0.009068  0.004224   0.03844        52       800    0.8672    0.6788     0.743    0.4599   0.02824  0.008794   0.01524
     72/99     8.47G   0.02475  0.008957  0.004378   0.03809        57       800    0.8696    0.6798    0.7466    0.4636    0.0289  0.008732   0.01493
     73/99     8.47G   0.02464  0.008765   0.00415   0.03755        52       800     0.864    0.6844    0.7673    0.4702   0.02873  0.008688   0.01397
     74/99     8.47G   0.02449  0.008865  0.004026   0.03738        40       800    0.8608    0.6954    0.7684    0.4782   0.02843  0.008676   0.01498
     75/99     8.47G   0.02527  0.008631  0.003632   0.03754        51       800    0.8636    0.6788    0.7534    0.4663   0.02912  0.008695    0.0144
     76/99     8.47G   0.02468  0.008969  0.004048    0.0377        57       800    0.8579    0.6838    0.7451    0.4657   0.02895  0.008696   0.01468
     77/99     8.47G   0.02438  0.008741  0.003339   0.03646        63       800    0.8627    0.6959    0.7635    0.4733    0.0283  0.008707   0.01458
     78/99     8.47G   0.02373  0.008814  0.003337   0.03588        55       800    0.8712    0.6894    0.7898    0.4882   0.02829  0.008705    0.0145
     79/99     8.47G   0.02435  0.009127  0.003654   0.03713        73       800    0.8786    0.6787    0.7894    0.4858   0.02892  0.008721   0.01431
     80/99     8.47G   0.02337  0.008775  0.003911   0.03605        94       800    0.8793     0.679    0.7796    0.4778   0.02888  0.008729   0.01472
     81/99     8.47G   0.02313  0.008519  0.004266   0.03592        46       800    0.8712    0.6941    0.7918     0.488    0.0284  0.008566   0.01378
     82/99     8.47G   0.02301  0.008492  0.003226   0.03472        74       800    0.8879    0.6775    0.7939    0.4836   0.02854  0.008715   0.01423
     83/99     8.47G   0.02337  0.008799  0.003305   0.03547        54       800    0.8731     0.691    0.7824     0.484   0.02808  0.008709   0.01494
